property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,0.0,1.0,1.0,51.22524749999999,4.4070078,1.0,19,42,65,65,4,4,4,5.0,5.0,5.0,5.0,4.0,90.0,2.0,42,2718.0,393,0.6333333333333333,85.0
Entire home,Entire home/apt,6,2.5,3.0,3.0,within an hour,99%,1.0,10.0,10.0,22.2226573,-159.4937304,1.0,2,13,18,147,53,29,3,4.94,5.0,4.92,4.87,1.98,415.0,1.0,68,4417.0,101,0.0666666666666666,19.0
Private room in home,Private room,1,1.0,1.0,1.0,within a few hours,100%,0.0,3.0,3.0,33.91504,-118.13426,1.0,28,58,88,178,120,1,0,4.83,4.92,4.61,4.73,0.98,40.0,1.0,55,4030.0,317,0.9333333333333332,324.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,3.0,3.0,43.7877801,11.2260238,1.0,30,58,86,86,68,32,0,4.56,4.47,4.41,4.5,2.88,50.0,1.0,15,3517.0,48,1.0,67.0
Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,within an hour,100%,0.0,2.0,2.0,45.48737,9.18571,1.0,22,52,82,340,0,0,0,,,,,,68.0,0.0,34,3025.0,566,0.7333333333333333,
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,0.0,426.0,471.0,45.44632,9.21275,1.0,9,28,58,333,73,17,2,4.56,4.56,4.56,4.23,1.15,103.0,1.0,18,4182.0,361,0.3,9.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,35.36315,24.46142,1.0,0,27,57,325,124,20,0,4.88,4.92,4.61,4.81,1.8,70.0,1.0,47,2240.0,500,0.0,124.0
Entire home,Entire home/apt,8,3.0,4.0,4.0,within an hour,100%,,11.0,15.0,32.66467,-96.82151,1.0,0,0,0,0,34,34,3,4.76,4.62,4.53,4.76,3.32,181.0,1.0,34,3566.0,225,0.0,11.0
Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,within an hour,100%,1.0,3.0,3.0,37.97953,23.70992,1.0,15,42,67,254,11,2,0,4.91,5.0,4.82,4.91,0.12,61.0,3.0,34,3116.0,378,0.5,208.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within a day,99%,0.0,125.0,129.0,22.32451,114.16439,1.0,30,60,90,365,0,0,0,,,,,,378.0,,30,3966.0,309,1.0,
Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,within an hour,100%,1.0,1.0,2.0,37.0615713,15.2922421,1.0,19,28,56,151,23,23,1,5.0,4.96,5.0,4.96,2.64,180.0,1.0,38,2620.0,253,0.6333333333333333,89.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,7.0,7.0,40.63949,22.93841,1.0,24,54,84,84,136,37,1,4.91,4.96,4.82,4.87,4.2,42.0,2.0,35,1055.0,88,0.8,96.0
Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,within an hour,100%,1.0,3.0,3.0,36.44265,28.22601,1.0,3,3,24,270,70,23,1,4.86,4.94,4.96,4.83,1.31,89.0,1.0,47,1818.0,227,0.1,96.0
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within an hour,100%,1.0,138.0,144.0,45.4885852,9.1624282,1.0,18,48,78,353,5,5,0,4.6,4.0,5.0,4.6,0.78,74.0,1.5,31,3344.0,0,0.6,44.0
Entire guest suite,Entire home/apt,6,1.5,1.0,4.0,,,0.0,1.0,1.0,40.63985,17.32804,1.0,1,1,1,214,2,0,0,5.0,3.5,5.0,4.0,0.03,151.0,4.0,31,2725.0,128,0.0333333333333333,578.0
Entire home,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,0.0,2.0,3.0,37.50655,15.08566,1.0,13,13,13,13,77,19,1,4.66,4.6,4.94,4.66,1.18,63.0,,26,3120.0,142,0.4333333333333333,102.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,0.0,1.0,1.0,48.82339,2.32935,1.0,29,59,89,269,11,0,0,4.82,4.45,4.82,4.55,0.55,100.0,1.0,6,2142.0,233,0.9666666666666668,490.0
Private room in home,Private room,2,1.5,1.0,2.0,within an hour,100%,1.0,7.0,21.0,53.48476,-2.1747,1.0,24,54,84,359,153,9,1,4.77,4.84,4.59,4.8,1.63,20.0,2.0,33,2899.0,525,0.8,89.0
Entire villa,Entire home/apt,8,3.0,4.0,8.0,within a few hours,100%,0.0,906.0,922.0,35.18083,25.90328,1.0,0,0,0,170,0,0,0,,,,,,500.0,2.0,50,1015.0,281,0.0,
Entire vacation home,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,0.0,32.0,32.0,40.95534,17.29761,1.0,30,60,90,243,0,0,0,,,,,,184.0,2.0,28,2462.0,129,1.0,
Entire home,Entire home/apt,6,2.0,3.0,4.0,within a day,100%,0.0,1.0,2.0,41.47854,-71.41926,1.0,24,54,84,301,11,1,0,4.91,4.91,5.0,4.91,0.2,400.0,1.3333333333333333,36,2035.0,289,0.8,244.0
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,within a day,90%,0.0,41.0,59.0,39.4778,-0.34861,1.0,0,0,13,129,0,0,0,,,,,,46.0,1.0,25,452.0,356,0.0,
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,94%,0.0,70.0,121.0,38.89494639999999,-77.0008046,1.0,0,8,38,313,0,0,0,,,,,,58.0,1.0,26,4286.0,472,0.0,
Entire rental unit,Entire home/apt,6,1.0,1.0,2.0,within a few hours,100%,1.0,3.0,8.0,57.07598,24.11334,1.0,30,60,90,365,0,0,0,,,,,,89.0,2.0,11,4439.0,52,1.0,
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,97%,0.0,2.0,6.0,40.75844,-73.99478,1.0,23,49,79,84,11,11,3,4.73,4.91,4.82,4.64,1.0,270.0,,51,534.0,128,0.7666666666666667,33.0
Private room in condo,Private room,4,1.0,1.0,2.0,within an hour,100%,0.0,1.0,1.0,38.19114,15.55458,1.0,25,55,85,170,67,1,0,4.97,5.0,4.99,4.94,1.02,70.0,2.0,34,2064.0,469,0.8333333333333334,293.0
Entire villa,Entire home/apt,7,2.5,3.0,5.0,within a day,67%,0.0,1.0,3.0,40.78805,17.59518,1.0,0,0,0,202,22,9,0,4.68,4.36,4.91,4.5,0.32,104.0,1.6666666666666667,43,3554.0,434,0.0,153.0
Private room in rental unit,Private room,1,2.0,1.0,1.0,within an hour,95%,1.0,16.0,18.0,37.65426,-122.42005,1.0,30,60,90,275,26,14,0,4.81,4.73,4.62,4.69,1.7,40.0,1.0,31,654.0,386,1.0,165.0
Private room in home,Private room,2,1.5,1.0,1.0,a few days or more,46%,0.0,7.0,9.0,39.43906173496602,-0.3814128905652083,1.0,15,28,58,260,0,0,0,,,,,,15.0,1.0,8,1019.0,277,0.5,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,48.84358,2.2949,1.0,0,0,0,5,2,0,0,5.0,5.0,5.0,4.0,0.03,300.0,1.0,19,2023.0,242,0.0,978.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,1.0,1.0,1.0,48.86401,2.35071,1.0,11,22,37,209,566,49,1,4.89,4.88,4.92,4.81,4.26,319.0,1.5,48,4116.0,494,0.3666666666666666,122.0
Room in boutique hotel,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,34.0,46.0,37.40875,25.34751,1.0,0,0,0,140,35,16,0,4.89,4.91,4.97,4.91,1.14,287.0,1.0,26,4602.0,406,0.0,168.0
Room in hotel,Private room,3,1.0,1.0,2.0,a few days or more,10%,0.0,2.0,15.0,51.2195,4.40245,1.0,27,57,87,267,2,0,0,4.0,4.0,4.0,4.0,0.15,95.0,2.0,24,1325.0,270,0.9,460.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,0.0,3.0,3.0,-22.98297599459922,-43.19170387078394,1.0,8,38,52,52,2,2,0,5.0,5.0,5.0,5.0,0.58,684.0,2.0,27,4926.0,424,0.2666666666666666,172.0
Private room in guest suite,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,2.0,2.0,46.20984,6.13764,1.0,30,60,90,365,5,5,0,5.0,5.0,4.8,4.8,0.87,139.0,1.0,41,3267.0,451,1.0,163.0
Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,a few days or more,0%,0.0,1.0,1.0,39.4742994801438,-0.3275728225708008,1.0,29,59,89,269,0,0,0,,,,,,88.0,0.0,6,4223.0,397,0.9666666666666668,
Entire rental unit,Entire home/apt,6,2.0,3.0,0.0,within a day,100%,0.0,2.0,11.0,46.43382,6.90994,1.0,29,59,89,269,0,0,0,,,,,,232.0,0.0,10,2971.0,63,0.9666666666666668,
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,0.0,12.0,20.0,39.31399359407295,2.99437072883606,1.0,1,1,1,1,1,1,0,5.0,5.0,5.0,4.0,0.88,125.0,1.5,27,4411.0,355,0.0333333333333333,35.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,,,0.0,4.0,4.0,35.3686044,24.4718199,1.0,27,57,87,362,0,0,0,,,,,,250.0,2.0,11,338.0,498,0.9,
Private room in bed and breakfast,Private room,4,1.0,1.0,4.0,within an hour,100%,0.0,3.0,3.0,38.0221093,12.8819897,1.0,0,0,0,143,0,0,0,,,,,,40.0,4.0,27,248.0,484,0.0,
Private room in guesthouse,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,10.0,12.0,41.1495543,-8.6122017,1.0,21,48,78,350,3,3,0,4.67,4.67,4.67,4.33,0.43,35.0,1.0,31,4638.0,508,0.7,120.0
Entire home,Entire home/apt,8,3.0,4.0,5.0,,,0.0,2.0,3.0,26.15569,-80.1194,1.0,27,57,87,267,15,0,0,5.0,5.0,5.0,5.0,0.21,259.0,1.25,32,2225.0,501,0.9,1822.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within a few hours,100%,1.0,2.0,4.0,45.75492,4.87367,1.0,30,60,90,365,3,2,0,5.0,5.0,5.0,5.0,0.2,63.0,,24,2654.0,434,1.0,258.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,1.0,3.0,3.0,38.75836,-9.26568,1.0,10,28,58,333,15,4,1,4.93,4.87,4.67,4.87,0.22,59.0,1.5,35,2108.0,435,0.3333333333333333,23.0
Private room in home,Private room,1,1.0,1.0,1.0,within an hour,100%,1.0,2.0,2.0,-33.88869,151.1936,1.0,0,3,25,250,191,22,0,4.75,4.46,4.92,4.76,1.73,81.0,1.0,56,3346.0,469,0.0,54.0
Entire villa,Entire home/apt,14,7.5,7.0,7.0,within an hour,100%,0.0,1.0,1.0,37.42447,25.38898,1.0,0,0,0,216,4,1,0,5.0,4.5,5.0,4.5,0.23,800.0,1.0,61,738.0,399,0.0,200.0
Entire serviced apartment,Entire home/apt,3,1.0,1.0,2.0,within a day,89%,0.0,11.0,12.0,22.2781,114.17191,1.0,27,57,87,362,0,0,0,,,,,,1000.0,2.0,14,2919.0,530,0.9,
Entire home,Entire home/apt,6,2.0,3.0,3.0,within an hour,67%,0.0,1.0,2.0,50.86324,4.28772,1.0,23,53,83,358,1,0,0,5.0,5.0,5.0,5.0,0.04,500.0,1.0,17,2493.0,484,0.7666666666666667,802.0
Entire home,Entire home/apt,4,1.0,1.0,1.0,,,0.0,1.0,1.0,29.96545,-90.06822,1.0,4,9,24,230,217,3,0,4.94,4.82,4.81,4.91,1.97,115.0,1.0,20,3384.0,250,0.1333333333333333,293.0
Entire condo,Entire home/apt,6,2.0,2.0,3.0,within an hour,90%,0.0,47.0,145.0,20.7962475,-156.5052291,1.0,5,5,5,5,2,1,0,4.5,4.5,5.0,5.0,0.16,425.0,1.5,25,2815.0,431,0.1666666666666666,275.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,12.0,12.0,19.4235247,-99.1662109,1.0,24,54,84,160,68,63,10,4.82,4.96,4.9,4.81,4.54,880.0,1.0,41,567.0,365,0.8,81.0
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,1.0,1.0,1.0,51.488476,-0.113923,1.0,15,43,73,163,139,56,1,4.94,4.72,4.94,4.86,4.38,84.0,1.0,36,3884.0,546,0.5,107.0
Entire condo,Entire home/apt,5,1.0,1.0,3.0,,,0.0,1.0,2.0,37.99156,23.72223,1.0,28,54,82,172,116,0,0,4.85,4.78,4.8,4.86,1.34,35.0,3.0,16,2693.0,436,0.9333333333333332,943.0
Private room in guest suite,Private room,2,1.0,1.0,1.0,within an hour,100%,,4.0,11.0,20.91469,-156.49551,1.0,7,7,7,7,410,80,7,4.82,4.82,4.81,4.71,5.65,181.0,1.0,47,2204.0,1000,0.2333333333333333,6.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,,2.0,2.0,32.59628,-97.41035,1.0,30,60,90,90,7,7,1,5.0,5.0,4.86,4.86,0.86,44.0,1.0,23,1421.0,450,1.0,27.0
Room in hotel,Private room,2,0.0,1.0,1.0,within an hour,99%,0.0,154.0,487.0,55.94543,-3.21851,1.0,29,59,89,364,98,7,2,4.26,4.43,4.7,4.39,1.84,108.0,1.0,23,3533.0,478,0.9666666666666668,25.0
Private room in rental unit,Private room,2,2.0,1.0,1.0,,,0.0,9.0,9.0,43.25261,-2.94694,1.0,30,60,90,270,0,0,0,,,,,,200.0,1.0,7,1814.0,123,1.0,
Entire home,Entire home/apt,8,1.0,3.0,4.0,within an hour,100%,0.0,1.0,1.0,34.18723,-118.37281,1.0,18,48,78,109,172,28,1,4.83,4.78,4.74,4.76,3.26,220.0,1.3333333333333333,49,1610.0,510,0.6,19.0
Entire condo,Entire home/apt,5,1.0,2.0,2.0,within an hour,100%,1.0,4.0,6.0,30.46083,-97.80208,1.0,0,0,0,0,93,14,0,4.91,4.92,4.74,4.84,2.19,113.0,1.0,54,3533.0,441,0.0,75.0
Entire guesthouse,Entire home/apt,6,1.0,4.0,4.0,within an hour,90%,0.0,1.0,1.0,49.247439923501446,-123.07326465284196,1.0,9,36,52,52,35,28,1,4.54,4.49,4.83,4.66,2.44,131.0,1.0,28,739.0,474,0.3,11.0
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within a few hours,99%,0.0,841.0,853.0,41.38916,2.16859,1.0,15,45,75,315,0,0,0,,,,,,190.0,1.0,31,1757.0,295,0.5,
Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,within an hour,100%,0.0,57.0,60.0,-31.95806,115.87394,1.0,15,45,75,350,155,34,5,4.59,4.58,4.7,4.7,2.37,335.0,1.5,42,2681.0,484,0.5,82.0
Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,within a day,100%,1.0,1.0,1.0,40.71267003392066,-73.90671518864099,1.0,28,51,81,81,40,40,0,4.95,4.93,4.88,4.83,3.55,275.0,1.0,22,3124.0,282,0.9333333333333332,72.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,0.0,1.0,1.0,48.86283,2.3713,1.0,8,8,26,26,17,2,0,4.94,4.76,5.0,4.82,0.55,146.0,1.0,13,3290.0,480,0.2666666666666666,370.0
Entire rental unit,Entire home/apt,4,1.0,0.0,0.0,within a day,100%,0.0,2.0,2.0,40.57916,-73.95424,1.0,30,60,90,365,53,0,0,4.08,4.51,4.62,4.08,0.63,91.0,,22,2538.0,209,1.0,835.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,,,0.0,1.0,1.0,45.4434978,9.175169,1.0,12,22,41,208,5,2,0,4.8,5.0,4.8,4.6,0.29,93.0,2.0,49,869.0,500,0.4,328.0
Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,within an hour,100%,1.0,29.0,29.0,41.3971,2.16975,1.0,18,44,74,159,91,37,0,4.86,4.84,4.86,4.57,2.26,151.0,0.5,47,4741.0,136,0.6,71.0
Private room in rental unit,Private room,1,2.0,1.0,1.0,a few days or more,24%,0.0,175.0,199.0,41.40423,2.14169,1.0,0,0,0,61,0,0,0,,,,,,33.0,1.0,22,732.0,450,0.0,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,5.0,7.0,39.57513,3.37245,1.0,0,16,24,145,23,1,0,4.65,4.78,4.57,4.65,0.34,95.0,1.0,49,2568.0,496,0.0,317.0
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,1.0,2.0,2.0,51.45095,-0.23952,1.0,15,41,71,240,10,7,0,4.8,4.4,4.6,4.8,0.69,74.0,1.0,56,3006.0,527,0.5,149.0
Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,,,1.0,5.0,5.0,39.81597,18.31267,1.0,30,60,90,151,34,4,0,4.94,4.71,4.97,4.82,0.44,60.0,1.5,21,3602.0,344,1.0,195.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,51.55027,-0.19021,1.0,11,11,11,225,41,9,0,4.83,4.78,4.93,4.71,0.49,160.0,1.0,20,4228.0,496,0.3666666666666666,135.0
Tiny home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,36.44147,28.22781,1.0,14,32,56,162,52,17,1,4.98,5.0,5.0,4.98,1.64,55.0,1.0,30,1148.0,476,0.4666666666666667,103.0
Private room in home,Private room,1,1.0,3.0,4.0,within a day,90%,1.0,3.0,5.0,-32.03338,115.94264,1.0,28,58,88,88,15,0,0,4.67,4.2,4.8,4.67,0.2,38.0,1.3333333333333333,23,2424.0,490,0.9333333333333332,1859.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,90%,0.0,850.0,891.0,48.85426760000001,2.3753365,1.0,0,0,9,284,0,0,0,,,,,,154.0,1.0,24,1918.0,225,0.0,
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,,,0.0,2.0,2.0,26.16943,-80.14763,,30,60,90,365,0,0,0,,,,,,165.0,1.0,1,1491.0,107,1.0,
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,1.0,2.0,45.4445762,12.3293232,1.0,17,45,74,349,71,71,5,4.86,4.86,4.86,4.76,7.1,98.0,2.0,48,331.0,426,0.5666666666666667,13.0
Entire home/apt,Entire home/apt,6,1.0,1.0,3.0,within an hour,76%,0.0,1430.0,3254.0,40.26409,17.88722,1.0,0,0,0,169,2,1,0,4.5,4.0,5.0,4.5,0.12,218.0,3.0,11,4151.0,98,0.0,215.0
Entire condo,Entire home/apt,4,1.0,1.0,1.0,within a few hours,100%,1.0,8.0,8.0,38.02386,12.88304,1.0,30,60,90,365,0,0,0,,,,,,74.0,1.0,6,1517.0,212,1.0,
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,43.72365239969872,-79.4310916095693,1.0,19,28,53,53,0,0,0,,,,,,50.0,1.0,53,2977.0,501,0.6333333333333333,
Entire loft,Entire home/apt,1,1.0,1.0,1.0,within a few hours,91%,0.0,1.0,1.0,39.46197,-0.37199,1.0,14,29,37,39,31,7,1,4.94,4.9,5.0,4.81,0.87,89.0,1.0,16,1078.0,243,0.4666666666666667,1.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,6.0,8.0,37.06006,15.29589,1.0,11,11,41,286,0,0,0,,,,,,133.0,1.0,15,3776.0,299,0.3666666666666666,
Entire home,Entire home/apt,2,1.0,1.0,1.0,,,0.0,1.0,1.0,-37.78935632826949,144.8619090728763,1.0,0,0,0,28,0,0,0,,,,,,130.0,1.0,8,483.0,57,0.0,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,48.86565,2.35929,1.0,21,51,81,356,19,17,4,5.0,5.0,4.89,4.61,1.54,170.0,1.0,36,2508.0,459,0.7,97.0
Entire home,Entire home/apt,6,1.0,4.0,4.0,within a few hours,100%,0.0,1.0,1.0,48.86621525100461,2.4030555847754416,1.0,28,58,88,363,0,0,0,,,,,,330.0,1.0,10,2043.0,366,0.9333333333333332,
Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,1.0,4.0,5.0,37.52304,-122.34968,1.0,14,44,73,220,28,2,0,4.96,4.96,5.0,4.89,0.31,155.0,1.0,45,3043.0,460,0.4666666666666667,129.0
Private room in bed and breakfast,Private room,4,1.0,1.0,1.0,,,0.0,4.0,4.0,40.84559,14.25797,1.0,14,20,44,311,2,0,0,5.0,5.0,5.0,5.0,0.02,181.0,1.0,21,3211.0,433,0.4666666666666667,1307.0
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,within a few hours,100%,1.0,2.0,2.0,41.41779,2.18575,1.0,0,0,0,190,7,2,0,5.0,4.71,4.86,4.86,0.1,54.0,1.0,28,2378.0,368,0.0,265.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,1.0,1.0,2.0,43.77103,11.22165,1.0,6,15,17,17,25,25,0,4.96,4.92,4.76,4.84,3.15,63.0,2.0,41,281.0,430,0.2,109.0
Entire home,Entire home/apt,9,2.0,3.0,5.0,within an hour,89%,,22.0,24.0,-26.68255,153.11014,1.0,28,58,88,268,1,0,0,4.0,5.0,5.0,5.0,0.03,546.0,1.6666666666666667,47,1961.0,509,0.9333333333333332,880.0
Private room in home,Private room,1,2.0,1.0,1.0,within an hour,100%,0.0,4.0,8.0,45.55085,-122.67554,1.0,1,20,50,140,12,8,0,4.58,4.42,4.83,4.58,0.36,35.0,1.0,49,4592.0,496,0.0333333333333333,73.0
Private room in rental unit,Private room,4,1.0,1.0,1.0,within an hour,100%,0.0,3.0,5.0,38.6996,-9.19207,1.0,29,59,89,364,172,24,0,4.37,4.59,4.55,4.34,1.65,32.0,1.0,9,3125.0,472,0.9666666666666668,125.0
Entire rental unit,Entire home/apt,6,3.0,3.0,4.0,within an hour,91%,0.0,192.0,256.0,-28.27743,153.57674,1.0,19,33,53,293,36,4,0,4.72,4.72,5.0,4.75,0.89,404.0,1.3333333333333333,22,1313.0,232,0.6333333333333333,90.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,0.0,2.0,3.0,48.83629,2.31638,1.0,30,60,90,180,9,0,0,4.67,5.0,4.78,4.56,0.11,75.0,1.0,8,2923.0,47,1.0,2091.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,0.0,1.0,4.0,48.855053,2.334171,1.0,7,37,66,280,37,2,1,4.89,5.0,5.0,4.84,0.98,183.0,,42,3963.0,506,0.2333333333333333,122.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,0.0,1.0,1.0,48.87421614194647,2.2800208255648613,1.0,29,59,89,269,0,0,0,,,,,,250.0,1.0,7,1932.0,131,0.9666666666666668,
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,90%,1.0,4.0,7.0,48.86322,2.33537,1.0,0,30,60,101,91,17,0,4.98,4.93,5.0,4.86,2.29,300.0,,43,1338.0,505,0.0,167.0
Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,within an hour,96%,0.0,823.0,951.0,48.851,2.377,1.0,28,54,80,347,8,8,0,4.88,4.88,4.88,4.63,0.98,231.0,1.0,32,3578.0,12,0.9333333333333332,144.0
Entire villa,Entire home/apt,10,5.5,4.0,4.0,a few days or more,0%,0.0,4.0,6.0,38.0273,12.93346,1.0,30,60,90,365,3,0,0,5.0,5.0,5.0,5.0,0.07,140.0,1.0,45,2080.0,95,1.0,572.0
Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,within an hour,92%,0.0,4.0,4.0,53.474634248228526,-2.282859155332849,1.0,24,51,80,80,0,0,0,,,,,,76.0,2.0,8,172.0,520,0.8,
Entire loft,Entire home/apt,6,1.5,3.0,3.0,within an hour,100%,1.0,1.0,1.0,-37.8233939,144.9916052,1.0,19,41,67,327,126,37,3,4.96,4.95,4.96,4.85,4.24,375.0,1.0,42,4236.0,462,0.6333333333333333,21.0
Entire home,Entire home/apt,6,2.0,3.0,5.0,,,0.0,1.0,1.0,-32.87372,115.65779,1.0,0,18,48,323,6,1,0,4.67,4.0,4.67,4.67,0.27,250.0,1.6666666666666667,16,830.0,443,0.0,440.0
Entire villa,Entire home/apt,4,2.0,2.0,2.0,,,0.0,1.0,1.0,37.297141625295744,26.558205074575284,1.0,0,0,20,295,5,5,0,5.0,5.0,5.0,4.6,0.92,100.0,1.0,40,975.0,432,0.0,159.0
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,within a day,67%,0.0,1.0,1.0,48.13857,11.46336,1.0,8,21,37,108,3,3,1,5.0,5.0,4.67,5.0,0.68,100.0,2.0,11,3553.0,486,0.2666666666666666,95.0
Entire rental unit,Entire home/apt,5,2.0,1.0,3.0,within an hour,100%,0.0,5.0,5.0,-22.9727677,-43.1882643,1.0,20,50,74,349,0,0,0,,,,,,957.0,3.0,6,1256.0,56,0.6666666666666666,
Entire condo,Entire home/apt,4,1.5,1.0,2.0,within an hour,100%,1.0,3.0,3.0,19.4693,-99.14996,1.0,21,51,81,353,57,11,0,4.79,4.86,4.63,4.75,1.01,576.0,2.0,33,2111.0,171,0.7,129.0
Room in hotel,Private room,3,1.0,1.0,2.0,within an hour,99%,0.0,5.0,5.0,52.35987,4.80488,1.0,12,28,54,327,395,110,12,4.64,4.64,4.45,4.49,8.75,115.0,2.0,13,1362.0,501,0.4,15.0
Private room in condo,Private room,1,1.0,1.0,2.0,within a few hours,100%,1.0,1.0,1.0,52.48576,13.26359,1.0,18,23,36,137,163,26,2,4.96,4.99,4.93,4.9,2.02,28.0,2.0,31,3651.0,14,0.6,100.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,48.85290612952729,2.404412045362154,1.0,28,58,88,363,11,6,0,5.0,5.0,4.91,5.0,0.64,95.0,1.0,22,4635.0,476,0.9333333333333332,140.0
Entire villa,Entire home/apt,7,2.5,3.0,5.0,within an hour,100%,1.0,357.0,411.0,35.3509,24.43344,1.0,0,0,9,230,34,16,0,5.0,5.0,4.71,4.94,0.82,274.0,1.6666666666666667,81,4478.0,372,0.0,135.0
Private room in rental unit,Private room,1,2.0,2.0,1.0,within a few hours,100%,0.0,2.0,2.0,41.3757,2.17101,1.0,0,0,0,15,38,2,0,4.83,4.79,4.84,4.82,0.25,19.0,0.5,19,4782.0,155,0.0,104.0
Private room in condo,Private room,2,1.5,1.0,1.0,within an hour,100%,0.0,3.0,10.0,48.82355,2.36469,1.0,6,36,66,341,84,33,2,4.77,4.79,4.69,4.76,2.51,59.0,1.0,24,2080.0,503,0.2,115.0
Entire condo,Entire home/apt,5,2.0,3.0,2.0,within a few hours,100%,1.0,1.0,1.0,38.12253,13.36146,1.0,29,59,89,364,27,11,0,4.93,4.93,4.89,4.89,0.84,156.0,0.6666666666666666,73,1244.0,500,0.9666666666666668,167.0
Entire vacation home,Entire home/apt,4,1.0,1.0,2.0,within an hour,97%,0.0,104.0,160.0,38.0311521,14.0077988,1.0,27,57,87,237,2,1,0,4.0,3.5,5.0,4.0,0.13,120.0,2.0,29,2408.0,402,0.9,166.0
