property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,False,18.0,133.0,30.26058,-97.72066,True,28,58,88,178,1,1,0,3.0,3.0,4.0,3.0,0.1,118.0,1.0,41,3011.0,488,0.9333333333333332,305.0
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,True,1.0,1.0,20.72577,-156.44584,True,10,34,57,218,22,11,3,4.95,4.91,4.91,4.77,1.32,325.0,1.0,76,655.0,499,0.3333333333333333,12.0
Entire condo,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,True,6.0,6.0,41.12843,16.8713,True,10,26,54,329,181,110,9,4.76,4.63,4.93,4.7,9.03,54.0,1.0,43,3229.0,367,0.3333333333333333,82.0
Entire vacation home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,False,4.0,4.0,41.32035,16.29347,True,30,60,84,359,0,0,0,4.86,4.87,4.88,4.77,0.87,112.0,3.0,49,4411.0,205,1.0,unknown
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,91%,False,3.0,7.0,39.83927,3.12022,True,7,35,63,211,177,39,0,4.75,4.76,4.81,4.6,3.79,456.0,2.0,35,4435.0,457,0.2333333333333333,135.0
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,True,8.0,8.0,-34.0589131,151.1569258,True,28,58,88,271,0,0,0,4.86,4.87,4.88,4.77,0.87,285.0,1.5,44,998.0,314,0.9333333333333332,unknown
Private room in condo,Private room,3,1.0,1.0,2.0,within an hour,100%,False,15.0,15.0,21.28196317523694,-157.82823503823172,True,16,37,61,277,23,5,0,4.57,4.48,4.87,4.48,0.92,142.0,2.0,71,813.0,495,0.5333333333333333,133.0
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,within an hour,100%,True,3.0,3.0,51.45906,-2.565,True,12,42,72,252,102,14,0,4.87,4.69,4.62,4.82,1.28,75.0,1.0,55,3181.0,416,0.4,133.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,2.0,2.0,-22.989640864303308,-43.43976375262977,True,0,0,26,206,2,2,0,5.0,5.0,5.0,5.0,0.17,656.0,1.0,11,2328.0,36,0.0,208.0
Entire home,Entire home/apt,10,2.0,4.0,5.0,within an hour,100%,True,1.0,1.0,45.56977585751,-122.66108446624338,True,15,37,59,331,115,99,7,4.83,4.79,4.83,4.74,7.44,146.0,1.25,49,1938.0,480,0.5,18.0
Private room in rental unit,Private room,2,2.0,1.0,1.0,within an hour,100%,False,9.0,9.0,53.34436,-6.28129,True,20,50,76,166,123,62,3,4.37,4.33,4.37,4.18,5.03,62.0,1.0,40,1684.0,518,0.6666666666666666,108.0
Entire home,Entire home/apt,6,3.0,3.0,3.0,missing,missing,False,1.0,1.0,34.09149,-118.60048,True,27,57,87,87,0,0,0,4.86,4.87,4.88,4.77,0.87,300.0,1.0,29,4303.0,433,0.9,unknown
Entire home,Entire home/apt,14,3.0,5.0,7.0,within an hour,100%,True,1.0,1.0,36.1851791,-115.0344354,True,14,31,50,225,5,5,0,4.8,4.8,4.4,4.4,0.86,499.0,1.4,51,366.0,483,0.4666666666666667,138.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,False,35.0,53.0,48.85971,2.35399,True,5,21,50,230,46,46,3,4.63,4.72,4.98,4.59,4.38,195.0,1.5,33,1103.0,301,0.1666666666666666,117.0
Entire guesthouse,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,1.0,1.0,45.59464,-122.74913,True,24,44,70,153,221,29,1,5.0,4.99,4.95,4.91,2.67,125.0,2.0,47,4280.0,478,0.8,25.0
Entire villa,Entire home/apt,12,1.0,2.0,6.0,within an hour,100%,False,576.0,1081.0,38.075361,13.083417,True,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,235.0,3.0,30,778.0,449,1.0,unknown
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,90%,False,1.0,2.0,51.53471943817509,-0.2360432254971674,True,0,0,0,94,12,12,4,4.67,5.0,4.83,4.75,5.37,55.0,1.0,11,427.0,387,0.0,102.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,1.0,4.0,43.6408455,-79.4143193,True,17,27,56,197,2,2,2,5.0,5.0,5.0,5.0,2.0,266.0,1.0,54,3861.0,302,0.5666666666666667,40.0
Tent,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,6.0,6.0,52.32609,-9.27653,True,0,0,0,180,2,2,0,5.0,5.0,5.0,5.0,0.45,119.0,2.0,9,2910.0,498,0.0,222.0
Private room in rental unit,Private room,3,1.0,1.0,3.0,missing,missing,False,58.0,60.0,50.09220007150788,14.430020764842272,True,0,0,0,49,4,0,0,4.0,4.0,5.0,4.75,0.19,850.0,3.0,11,1007.0,414,0.0,571.0
Entire guest suite,Entire home/apt,12,3.0,3.0,6.0,a few days or more,39%,False,14.0,16.0,40.06047,18.03908,True,0,0,0,153,0,0,0,4.86,4.87,4.88,4.77,0.87,180.0,2.0,44,3541.0,512,0.0,unknown
Entire home,Entire home/apt,8,2.0,4.0,5.0,within a few hours,100%,False,1.0,1.0,-37.72715,144.57482,True,0,0,0,34,15,15,0,4.6,4.8,4.93,4.6,1.38,223.0,1.25,44,494.0,108,0.0,46.0
Entire condo,Entire home/apt,4,2.0,1.0,2.0,within an hour,100%,False,93.0,95.0,20.7111803900566,-156.44349181840397,True,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,217.0,2.0,25,2937.0,468,1.0,unknown
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,True,1.0,1.0,-26.41686,152.9118,True,16,37,55,63,193,50,1,4.94,4.95,4.94,4.92,3.05,113.0,2.0,43,1930.0,496,0.5333333333333333,27.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,90%,True,3.0,3.0,19.4118,-99.14451,True,11,11,37,127,55,12,1,4.82,4.44,4.89,4.8,0.63,350.0,1.0,42,2855.0,374,0.3666666666666666,96.0
Private room in home,Private room,1,1.0,1.0,1.0,a few days or more,33%,False,1.0,1.0,43.65717,-79.36724,True,30,60,90,365,36,1,0,5.0,4.75,4.86,5.0,0.39,60.0,1.0,18,2772.0,285,1.0,145.0
Shared room in aparthotel,Shared room,1,1.0,1.0,1.0,within a few hours,96%,True,22.0,33.0,25.045305,121.525238,True,5,5,5,5,44,14,2,4.98,4.98,4.98,4.98,1.24,394.0,1.0,50,3782.0,513,0.1666666666666666,87.0
